[Name]
Series 1 at Qout

[Data]
Time [ s ],Qout [ kg m s^-3 ]
6.90000000e+002, 1.12965613e+003
7.00000000e+002, 1.11414160e+003
7.10000000e+002, 1.11413196e+003
7.20000000e+002, 1.09870081e+003
7.30000000e+002, 1.09869836e+003
7.40000000e+002, 1.08500232e+003
7.50000000e+002, 1.08500781e+003
7.60000000e+002, 1.07176526e+003
7.70000000e+002, 1.07175305e+003
7.80000000e+002, 1.05880322e+003
7.90000000e+002, 1.05877771e+003
8.00000000e+002, 1.04585144e+003
8.10000000e+002, 1.04584021e+003
8.20000000e+002, 1.03372595e+003
8.30000000e+002, 1.03371228e+003
8.40000000e+002, 1.02283118e+003
8.50000000e+002, 1.01726276e+003
8.60000000e+002, 1.01725348e+003
8.70000000e+002, 1.00680304e+003
8.80000000e+002, 1.00677258e+003
8.90000000e+002, 9.96827148e+002
9.00000000e+002, 9.96820435e+002
9.10000000e+002, 9.87655273e+002
9.20000000e+002, 9.87652344e+002
9.30000000e+002, 9.79514587e+002
9.40000000e+002, 9.79503418e+002
9.50000000e+002, 9.71814453e+002
9.60000000e+002, 9.71800171e+002
9.70000000e+002, 9.64064453e+002
9.80000000e+002, 9.64057861e+002
9.90000000e+002, 9.56137634e+002
1.00000000e+003, 9.56129944e+002
1.01000000e+003, 9.48694519e+002
1.02000000e+003, 9.48685242e+002
1.03000000e+003, 9.42185730e+002
1.04000000e+003, 9.42183472e+002
1.05000000e+003, 9.35822266e+002
1.06000000e+003, 9.35819702e+002
1.07000000e+003, 9.29499878e+002
1.08000000e+003, 9.29490723e+002
1.09000000e+003, 9.23439148e+002
1.10000000e+003, 9.23427246e+002
1.11000000e+003, 9.17760620e+002
1.12000000e+003, 9.17754395e+002
1.13000000e+003, 9.12377686e+002
1.14000000e+003, 9.12374023e+002
1.15000000e+003, 9.07234741e+002
1.16000000e+003, 9.07230835e+002
1.17000000e+003, 9.02438538e+002
1.18000000e+003, 9.02432495e+002
1.19000000e+003, 8.97866333e+002
1.20000000e+003, 8.97864563e+002
1.21000000e+003, 8.93473328e+002
1.22000000e+003, 8.93469055e+002
1.23000000e+003, 8.89077087e+002
1.24000000e+003, 8.89075012e+002
1.25000000e+003, 8.84617188e+002
1.26000000e+003, 8.84614258e+002
1.27000000e+003, 8.80301880e+002
1.28000000e+003, 8.80298401e+002
1.29000000e+003, 8.76142822e+002
1.30000000e+003, 8.76141479e+002
1.31000000e+003, 8.72083008e+002
1.32000000e+003, 8.72078186e+002
1.33000000e+003, 8.68238098e+002
1.34000000e+003, 8.68236877e+002
1.35000000e+003, 8.64706909e+002
1.36000000e+003, 8.64705261e+002
1.37000000e+003, 8.61192322e+002
1.38000000e+003, 8.61190979e+002
1.39000000e+003, 8.57587769e+002
1.40000000e+003, 8.57587158e+002
1.41000000e+003, 8.53735291e+002
1.42000000e+003, 8.53735474e+002
1.43000000e+003, 8.49721436e+002
1.44000000e+003, 8.49716858e+002
1.45000000e+003, 8.45914063e+002
1.46000000e+003, 8.45912537e+002
1.47000000e+003, 8.42262878e+002
1.48000000e+003, 8.42259766e+002
1.49000000e+003, 8.38681885e+002
1.50000000e+003, 8.38679688e+002
1.51000000e+003, 8.35129822e+002
1.52000000e+003, 8.35129517e+002
1.53000000e+003, 8.31648254e+002
1.54000000e+003, 8.31646545e+002
1.55000000e+003, 8.28270325e+002
1.56000000e+003, 8.28268982e+002
1.57000000e+003, 8.24933777e+002
1.58000000e+003, 8.24932434e+002
1.59000000e+003, 8.21619263e+002
1.60000000e+003, 8.21616455e+002
1.61000000e+003, 8.18268311e+002
1.62000000e+003, 8.18267578e+002
1.63000000e+003, 8.15041321e+002
1.64000000e+003, 8.15039551e+002
1.65000000e+003, 8.11728699e+002
1.66000000e+003, 8.11726807e+002
1.67000000e+003, 8.08423462e+002
1.68000000e+003, 8.08423035e+002
1.69000000e+003, 8.05297546e+002
1.70000000e+003, 8.05296936e+002
1.71000000e+003, 8.02295044e+002
1.72000000e+003, 8.02294678e+002
1.73000000e+003, 7.99335876e+002
1.74000000e+003, 7.99335022e+002
1.75000000e+003, 7.96346619e+002
1.76000000e+003, 7.96346069e+002
1.77000000e+003, 7.93329956e+002
1.78000000e+003, 7.93330017e+002
1.79000000e+003, 7.90388062e+002
1.80000000e+003, 7.90387695e+002
1.81000000e+003, 7.87539612e+002
1.82000000e+003, 7.87538879e+002
1.83000000e+003, 7.84784241e+002
1.84000000e+003, 7.84783691e+002
1.85000000e+003, 7.81869446e+002
1.86000000e+003, 7.81868347e+002
1.87000000e+003, 7.78978271e+002
1.88000000e+003, 7.78977539e+002
1.89000000e+003, 7.76233337e+002
1.90000000e+003, 7.76232971e+002
1.91000000e+003, 7.73596985e+002
1.92000000e+003, 7.73596558e+002
1.93000000e+003, 7.71044250e+002
1.94000000e+003, 7.71043945e+002
1.95000000e+003, 7.68450806e+002
1.96000000e+003, 7.68450623e+002
1.97000000e+003, 7.65784607e+002
1.98000000e+003, 7.65784363e+002
1.99000000e+003, 7.63099060e+002
2.00000000e+003, 7.63098999e+002
2.01000000e+003, 7.60505981e+002
2.02000000e+003, 7.60506226e+002
2.03000000e+003, 7.57997742e+002
2.04000000e+003, 7.57996399e+002
2.05000000e+003, 7.55510376e+002
2.06000000e+003, 7.55510010e+002
2.07000000e+003, 7.53076904e+002
2.08000000e+003, 7.53076843e+002
2.09000000e+003, 7.50683105e+002
2.10000000e+003, 7.50682983e+002
2.11000000e+003, 7.48325745e+002
2.12000000e+003, 7.48324829e+002
2.13000000e+003, 7.45947327e+002
2.14000000e+003, 7.45946533e+002
2.15000000e+003, 7.43552002e+002
2.16000000e+003, 7.43551208e+002
2.17000000e+003, 7.41158325e+002
2.18000000e+003, 7.41158081e+002
2.19000000e+003, 7.38838379e+002
2.20000000e+003, 7.38838013e+002
2.21000000e+003, 7.36554199e+002
2.22000000e+003, 7.36553223e+002
2.23000000e+003, 7.34250610e+002
2.24000000e+003, 7.34250183e+002
2.25000000e+003, 7.31970642e+002
2.26000000e+003, 7.31970703e+002
2.27000000e+003, 7.29741394e+002
2.28000000e+003, 7.29740784e+002
2.29000000e+003, 7.27552490e+002
2.30000000e+003, 7.27552612e+002
2.31000000e+003, 7.25389648e+002
2.32000000e+003, 7.25389587e+002
2.33000000e+003, 7.23216431e+002
2.34000000e+003, 7.23216431e+002
2.35000000e+003, 7.21004089e+002
2.36000000e+003, 7.21003967e+002
2.37000000e+003, 7.18786255e+002
2.38000000e+003, 7.18786194e+002
2.39000000e+003, 7.16594666e+002
2.40000000e+003, 7.16594421e+002
2.41000000e+003, 7.14459351e+002
2.42000000e+003, 7.14459412e+002
2.43000000e+003, 7.12350342e+002
2.44000000e+003, 7.12350342e+002
2.45000000e+003, 7.10272217e+002
2.46000000e+003, 7.10272034e+002
2.47000000e+003, 7.08249146e+002
2.48000000e+003, 7.08249207e+002
2.49000000e+003, 7.06255310e+002
2.50000000e+003, 7.06255127e+002
2.51000000e+003, 7.04270447e+002
2.52000000e+003, 7.04270142e+002
2.53000000e+003, 7.02278931e+002
2.54000000e+003, 7.02278809e+002
2.55000000e+003, 7.00305908e+002
2.56000000e+003, 7.00305542e+002
2.57000000e+003, 6.98340027e+002
2.58000000e+003, 6.98339844e+002
2.59000000e+003, 6.96385803e+002
2.60000000e+003, 6.96385315e+002
2.61000000e+003, 6.94445801e+002
2.62000000e+003, 6.94445862e+002
2.63000000e+003, 6.92527283e+002
2.64000000e+003, 6.92526733e+002
2.65000000e+003, 6.90650085e+002
2.66000000e+003, 6.90649902e+002
